#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abahan;Abahan;Abahan;Abahan;;Abahan;;;;;;;;;x
b_abahan_adj;Abahanian;;abahaner;;;;;;;;;;;x
b_abdeum;Abdeum;Abdeum;Abdeum;;Abdeum;;;;;;;;;x
b_abdeum_adj;Abdeumian;;abdeumer;;;;;;;;;;;x
b_ablab;Ablab;Ablab;Ablab;;Ablab;;;;;;;;;x
b_ablab_adj;Ablabian;;ablaber;;;;;;;;;;;x
b_abuter;Abuter;Abuter;Abuter;;Abuter;;;;;;;;;x
b_abuter_adj;Abuterian;;abuterer;;;;;;;;;;;x
b_acakaya;Acakaya;Acakaya;Acakaya;;Acakaya;;;;;;;;;x
b_acakaya_adj;Acakayan;;acakaer;;;;;;;;;;;x
b_acivorna;Acivorna;Acivorna;Acivorna;;Acivorna;;;;;;;;;x
b_acivorna_adj;Acivornan;;acivorner;;;;;;;;;;;x
b_acksabel;Acksabel;Acksabel;Acksabel;;Acksabel;;;;;;;;;x
b_acksabel_adj;Acksabelian;;acksabeler;;;;;;;;;;;x
b_acksabel_2;Acksabel;Acksabel;Acksabel;;Acksabel;;;;;;;;;x
b_acksabel_2_adj;Acksabelian;;acksabeler;;;;;;;;;;;x
b_acksabel_3;Acksabel;Acksabel;Acksabel;;Acksabel;;;;;;;;;x
b_acksabel_3_adj;Acksabelian;;acksabeler;;;;;;;;;;;x
b_acksabel_4;Acksabel;Acksabel;Acksabel;;Acksabel;;;;;;;;;x
b_acksabel_4_adj;Acksabelian;;acksabeler;;;;;;;;;;;x
b_actessos;Actessos;Actessos;Actessos;;Actessos;;;;;;;;;x
b_actessos_adj;Actessosian;;actessoser;;;;;;;;;;;x
b_actessos_2;Actessos;Actessos;Actessos;;Actessos;;;;;;;;;x
b_actessos_2_adj;Actessosian;;actessoser;;;;;;;;;;;x
b_actessos_3;Actessos;Actessos;Actessos;;Actessos;;;;;;;;;x
b_actessos_3_adj;Actessosian;;actessoser;;;;;;;;;;;x
b_actessos_4;Actessos;Actessos;Actessos;;Actessos;;;;;;;;;x
b_actessos_4_adj;Actessosian;;actessoser;;;;;;;;;;;x
b_actessos_5;Actessos;Actessos;Actessos;;Actessos;;;;;;;;;x
b_actessos_5_adj;Actessosian;;actessoser;;;;;;;;;;;x
b_ad_dascha;Ad Dascha;Ad Dascha;Ad Dascha;;Ad Dascha;;;;;;;;;x
b_ad_dascha_adj;Ad Daschan;;Ad Dascher;;;;;;;;;;;x
b_ad_dascha_2;Ad Dascha;Ad Dascha;Ad Dascha;;Ad Dascha;;;;;;;;;x
b_ad_dascha_2_adj;Ad Daschan;;Ad Dascher;;;;;;;;;;;x
b_ad_dascha_3;Ad Dascha;Ad Dascha;Ad Dascha;;Ad Dascha;;;;;;;;;x
b_ad_dascha_3_adj;Ad Daschan;;Ad Dascher;;;;;;;;;;;x
b_ad_dascha_4;Ad Dascha;Ad Dascha;Ad Dascha;;Ad Dascha;;;;;;;;;x
b_ad_dascha_4_adj;Ad Daschan;;Ad Dascher;;;;;;;;;;;x
b_ad_dascha_5;Ad Dascha;Ad Dascha;Ad Dascha;;Ad Dascha;;;;;;;;;x
b_ad_dascha_5_adj;Ad Daschan;;Ad Dascher;;;;;;;;;;;x
b_addasit;Addasit;Addasit;Addasit;;Addasit;;;;;;;;;x
b_addasit_adj;Addasitian;;addasiter;;;;;;;;;;;x
b_adena;Adena;Adena;Adena;;Adena;;;;;;;;;x
b_adena_adj;Adenan;;adener;;;;;;;;;;;x
b_adosinda;Adosinda;Adosinda;Adosinda;;Adosinda;;;;;;;;;x
b_adosinda_adj;Adosindan;;adosinder;;;;;;;;;;;x
b_afrad;Afrad;Afrad;Afrad;;Afrad;;;;;;;;;x
b_afrad_adj;Afradian;;afrader;;;;;;;;;;;x
b_afrad_2;Afrad;Afrad;Afrad;;Afrad;;;;;;;;;x
b_afrad_2_adj;Afradian;;afrader;;;;;;;;;;;x
b_afrad_3;Afrad;Afrad;Afrad;;Afrad;;;;;;;;;x
b_afrad_3_adj;Afradian;;afrader;;;;;;;;;;;x
b_afrad_4;Afrad;Afrad;Afrad;;Afrad;;;;;;;;;x
b_afrad_4_adj;Afradian;;afrader;;;;;;;;;;;x
b_agaqiya;Agaqiya;Agaqiya;Agaqiya;;Agaqiya;;;;;;;;;x
b_agaqiya_adj;Agaqiyan;;agaqer;;;;;;;;;;;x
b_agheida;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_2;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_2_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_3;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_3_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_4;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_4_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_5;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_5_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_6;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_6_adj;Agheidan;;agheider;;;;;;;;;;;x
b_agheida_7;Agheida;Agheida;Agheida;;Agheida;;;;;;;;;x
b_agheida_7_adj;Agheidan;;agheider;;;;;;;;;;;x
b_ahislu;Ahislu;Ahislu;Ahislu;;Ahislu;;;;;;;;;x
b_ahislu_adj;Ahislian;;ahisler;;;;;;;;;;;x
b_ahislu_2;Ahislu;Ahislu;Ahislu;;Ahislu;;;;;;;;;x
b_ahislu_2_adj;Ahislian;;ahisler;;;;;;;;;;;x
b_ahislu_3;Ahislu;Ahislu;Ahislu;;Ahislu;;;;;;;;;x
b_ahislu_3_adj;Ahislian;;ahisler;;;;;;;;;;;x
b_ahislu_4;Ahislu;Ahislu;Ahislu;;Ahislu;;;;;;;;;x
b_ahislu_4_adj;Ahislian;;ahisler;;;;;;;;;;;x
b_ajdaan;Ajdaan;Ajdaan;Ajdaan;;Ajdaan;;;;;;;;;x
b_ajdaan_adj;Ajdaanian;;ajdaaner;;;;;;;;;;;x
b_ajdaan_2;Ajdaan;Ajdaan;Ajdaan;;Ajdaan;;;;;;;;;x
b_ajdaan_2_adj;Ajdaanian;;ajdaaner;;;;;;;;;;;x
b_akcasi;Akcasi;Akcasi;Akcasi;;Akcasi;;;;;;;;;x
b_akcasi_adj;Akcasian;;akcaser;;;;;;;;;;;x
b_akpazuyuk;Akpazuyuk;Akpazuyuk;Akpazuyuk;;Akpazuyuk;;;;;;;;;x
b_akpazuyuk_adj;Akpazuyukian;;akpazuyuker;;;;;;;;;;;x
b_alagasz;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
b_alagasz_2;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_2_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
b_alagasz_3;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_3_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
b_alagasz_4;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_4_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
b_alagasz_5;Alagasz;Alagasz;Alagasz;;Alagasz;;;;;;;;;x
b_alagasz_5_adj;Alagaszian;;alagaszer;;;;;;;;;;;x
