#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x
k_lucija,Lucija,Lucija,Lucija,,Lucija,,,,,,,,,x
k_lucija_adj,Lucijan,,lucijer,,,,,,,,,,,x
k_lyngaria,Lyngaria,Lyngaria,Lyngaria,,Lyngaria,,,,,,,,,x
k_lyngaria_adj,Lyngarian,,lyngarer,,,,,,,,,,,x
k_mijin,Mijin,Mijin,Mijin,,Mijin,,,,,,,,,x
k_mijin_adj,Mijinite,,mijiner,,,,,,,,,,,x
k_serres,Serres,Serres,Serres,,Serres,,,,,,,,,x
k_serres_adj,Serresian,,serreser,,,,,,,,,,,x
k_cyvod,Cyvod,Cyvod,Cyvod,,Cyvod,,,,,,,,,
k_cyvod_adj,Cyvodic,,cyvod,,,,,,,,,,,
