From;To;Type;Through;-1;-1;-1;-1;Comment
225;230;sea;265;-1;-1;-1;-1;Kasbir-Shehit
201;206;sea;285;-1;-1;-1;-1;Camerinum-Tenedo
199;202;sea;311;-1;-1;-1;-1;Bonenia-Messambria
195;196;sea;289;-1;-1;-1;-1;Caprera-Scarlatta
182;191;sea;303;-1;-1;-1;-1;Aveisa-Senia
191;193;sea;317;-1;-1;-1;-1;Senia-Vessetta
144;145;sea;287;-1;-1;-1;-1;Syragno-Lourola
147;148;sea;287;-1;-1;-1;-1;Egatsi-Piviso
172;171;sea;307;-1;-1;-1;-1;Riova-Igemelli
152;153;sea;309;-1;-1;-1;-1;Verugia-Syrallegno
162;144;sea;287;-1;-1;-1;-1;Ascogna-Syragno
105;101;sea;287;-1;-1;-1;-1;Pelerikon-Orchanthus
194;175;sea;299;-1;-1;-1;-1;Castelvecchio-Ercopoli
194;174;sea;299;-1;-1;-1;-1;Castelvecchio-Caltasello
190;186;sea;318;-1;-1;-1;-1;Maramori-Avitivi
190;187;sea;318;-1;-1;-1;-1;Maramori-Talvati

162;142;major_river;329;-1;-1;-1;-1;Ascogna-Aveirta
105;103;major_river;334;-1;-1;-1;-1;Pelerikon-Altymos
131;130;major_river;335;-1;-1;-1;-1;Hieralos-Actessos
130;132;major_river;336;-1;-1;-1;-1;Actessos-Iasox
132;133;major_river;336;-1;-1;-1;-1;Iasox-Nireucia
131;133;major_river;336;-1;-1;-1;-1;Hieralos-Nireucia
97;96;major_river;322;-1;-1;-1;-1;Pyleron-Nakleonica
109;96;major_river;323;-1;-1;-1;-1;Tanera-Nakleonica
97;109;major_river;323;-1;-1;-1;-1;Pyleron-Tanera
178;181;major_river;340;-1;-1;-1;-1;Amago-Prazara
182;181;major_river;338;-1;-1;-1;-1;Aveisa-Prazara
183;181;major_river;338;-1;-1;-1;-1;Viseggio-Prazara
182;189;major_river;338;-1;-1;-1;-1;Aveisa-Farrati
183;189;major_river;338;-1;-1;-1;-1;Viseggio-Farrati
184;176;major_river;340;-1;-1;-1;-1;Brirbo-Moncafati
184;189;major_river;340;-1;-1;-1;-1;Brirbo-Farrati
185;189;major_river;340;-1;-1;-1;-1;Braria-Farrati
56;9;major_river;324;-1;-1;-1;-1;Maras-Adosinda
56;54;major_river;324;-1;-1;-1;-1;Maras-Lygia
12;54;major_river;324;-1;-1;-1;-1;Dalibor-Lygia
12;9;major_river;324;-1;-1;-1;-1;Dalibor-Adosinda
227;225;major_river;370;-1;-1;-1;-1;Ad_Dascha-Kasbir
57;60;major_river;326;-1;-1;-1;-1;Karis-Cerissu
57;61;major_river;326;-1;-1;-1;-1;Karis-Skarjiq
58;60;major_river;326;-1;-1;-1;-1;Mosheddin-Cerissu
58;61;major_river;326;-1;-1;-1;-1;Mosheddin-Skarjiq
58;62;major_river;327;-1;-1;-1;-1;Mosheddin-Carizquale
70;62;major_river;327;-1;-1;-1;-1;Dez-Carizquale
70;61;major_river;327;-1;-1;-1;-1;Dez-Skarjiq
82;62;major_river;327;-1;-1;-1;-1;Lavargan-Carizquale
82;61;major_river;327;-1;-1;-1;-1;Lavargan-Skarjiq
58;82;major_river;327;-1;-1;-1;-1;Mosheddin-Lavargan
82;63;major_river;363;-1;-1;-1;-1;Lavargan-Haiqban
82;65;major_river;363;-1;-1;-1;-1;Lavargan-Guzler
80;62;major_river;363;-1;-1;-1;-1;Omukapi-Carizquale
80;63;major_river;363;-1;-1;-1;-1;Omukapi-Haiqban
80;65;major_river;363;-1;-1;-1;-1;Omukapi-Guzler
62;65;major_river;363;-1;-1;-1;-1;Carizquale-Guzler
80;64;major_river;364;-1;-1;-1;-1;Omukapi-Delvaz
81;64;major_river;364;-1;-1;-1;-1;Ilinbeyli-Delvaz
81;65;major_river;364;-1;-1;-1;-1;Ilinbeyli-Guzler
64;85;major_river;365;-1;-1;-1;-1;Delvaz-Nusattin
64;87;major_river;365;-1;-1;-1;-1;Delvaz-Guzepinari
64;84;major_river;365;-1;-1;-1;-1;Delvaz-Gokotton
66;85;major_river;365;-1;-1;-1;-1;Atara-Nusattin
66;87;major_river;365;-1;-1;-1;-1;Atara-Guzepinari
66;84;major_river;365;-1;-1;-1;-1;Atara-Gokotton
87;85;major_river;365;-1;-1;-1;-1;Guzepinari-Nusattin
66;86;major_river;366;-1;-1;-1;-1;Atara-Golbahan

106;19;major_river;342;-1;-1;-1;-1;Didicea-Rilkymet
106;48;major_river;342;-1;-1;-1;-1;Didicea-Marathos
106;44;major_river;342;-1;-1;-1;-1;Didicea-Veigonopole
106;45;major_river;342;-1;-1;-1;-1;Didicea-Solactus
107;19;major_river;342;-1;-1;-1;-1;Olythepios-Rilkymet
107;48;major_river;342;-1;-1;-1;-1;Olythepios-Marathos
107;44;major_river;342;-1;-1;-1;-1;Olythepios-Veigonopole
107;45;major_river;342;-1;-1;-1;-1;Olythepios-Solactus
19;44;major_river;342;-1;-1;-1;-1;Rilkymet-Veigonopole
19;45;major_river;342;-1;-1;-1;-1;Rilkymet-Solactus
48;44;major_river;342;-1;-1;-1;-1;Marathos-Veigonopole

109;44;major_river;343;-1;-1;-1;-1;Tanera-Veigonopole
109;46;major_river;343;-1;-1;-1;-1;Tanera-Tripoinion
107;46;major_river;343;-1;-1;-1;-1;Olythepios-Tripoinion

110;51;major_river;344;-1;-1;-1;-1;Demyria-Thuryma
110;46;major_river;344;-1;-1;-1;-1;Demyria-Tripoinion

110;52;major_river;345;-1;-1;-1;-1;Demyria-Lebidon
110;121;major_river;345;-1;-1;-1;-1;Demyria-Hilartuz
120;52;major_river;345;-1;-1;-1;-1;Bozakot-Lebidon
120;121;major_river;345;-1;-1;-1;-1;Bozakot-Hilartuz
120;51;major_river;345;-1;-1;-1;-1;Bozakot-Thuryma
51;121;major_river;345;-1;-1;-1;-1;Thuryma-Hilartuz

120;122;major_river;346;-1;-1;-1;-1;Bozakot-Askorven
111;122;major_river;346;-1;-1;-1;-1;Cnidaros-Askorven
111;121;major_river;346;-1;-1;-1;-1;Cnidaros-Hilartuz

111;128;major_river;347;-1;-1;-1;-1;Cnidaros-Pletanek
119;111;major_river;347;-1;-1;-1;-1;Namoudoz-Cnidaros
119;128;major_river;347;-1;-1;-1;-1;Namoudoz-Pletanek
119;127;major_river;347;-1;-1;-1;-1;Namoudoz-Zukaluz

129;125;major_river;344;-1;-1;-1;-1;Opustil-Svec
129;119;major_river;344;-1;-1;-1;-1;Opustil-Namoudoz
